등록번호,처리상태,관할기관,행정구역,노선,방향,지번주소,도로명주소,파손종류
20230602084808001,보수,강서,강서구,신월~가양선,올림픽대로 유출입램프 (가양2동 강변 아파트 3단지),,강서구 화곡로 301,포트홀
20230602084752001,보수,강서,양천구,신월~신당선,한양공고앞 (신당동251),,양천구 국회대로 86,포트홀
20230602084748001,보수,강서,구로구,온수~망우선,중랑구시계 (망우동산52-4),구로구 개봉동 139-4,구로구 경인로 304,포트홀
20230602084735001,보수,강서,구로구,,,,구로구 남부순환로 1133,포트홀
20230602084722001,보수,강서,양천구,신월~노량진선,한강대교남단 (노량진본동126),,양천구 오목로 210,포트홀
20230602084721001,보수,강서,구로구,,,,구로구 공원로 47,포트홀
20230602084702001,보수,강서,영등포구,,,영등포구 문래동1가 10-1,영등포구 경인로 790-1,포트홀
20230602084655001,보수,강서,양천구,독산~등촌선,독산동길 (독산동 178-7),양천구 신정동 1095,양천구 목동로 173,포트홀
20230602084635001,보수,강서,영등포구,온수~망우선,중랑구시계 (망우동산52-4),,영등포구 경인로 772,포트홀
20230602084620001,보수,강서,영등포구,신월~노량진선,한강대교남단 (노량진본동126),,영등포구 영등포로 71,포트홀
20230602084605001,보수,강서,영등포구,,,영등포구 영등포동2가 321-2,영등포구 영신로33길 3,포트홀
20230602084549001,보수,강서,영등포구,,,영등포구 영등포동2가 321-2,영등포구 영신로33길 3,포트홀
20230602084527001,보수,강서,영등포구,온수~망우선,중랑구시계 (망우동산52-4),,영등포구 경인로 838-1,포트홀
20230602084525001,보수,강서,양천구,목동선,양평교서단 (목동910),,양천구 목동동로 262,포트홀
20230602084459001,보수,강서,양천구,,,양천구 신월동 840,양천구 국회대로 30,포트홀
20230602084456001,보수,강서,영등포구,양평~상도선,경인입구입구로타리 (양평동3가69),영등포구 양평동3가 60-1,영등포구 선유로 170,포트홀
20230602084443001,보수,강서,영등포구,문래~당산선,당산역 (당산동283),,영등포구 당산로 180,포트홀
20230602084429001,보수,강서,영등포구,문래~당산선,당산역 (당산동283),영등포구 당산동5가 5-1,영등포구 당산로42길 16,포트홀
20230602084427001,보수,강서,양천구,,,,양천구 국회대로 12,포트홀
20230602084415001,보수,강서,영등포구,양평~상도선,경인입구입구로타리 (양평동3가69),,영등포구 선유로 166,포트홀
20230602084359001,보수,강서,영등포구,서부간선,금천구 시계,,영등포구 선유서로35길 3,포트홀
